epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,496.886,0.91941,1.11801,0.91531,0.9635,0.96266,0.98151,0.74146,0.82206,0.51694,0.86765,0.000666147,0.000666147,0.000666147
2,971.144,0.86763,0.54272,0.89676,0.97294,0.95311,0.98259,0.77085,0.77006,0.47996,0.87017,0.00120086,0.00120086,0.00120086
3,1456.64,0.82987,0.49859,0.88845,0.96978,0.95872,0.98573,0.77153,0.76595,0.46012,0.85926,0.00160358,0.00160358,0.00160358
4,1939.26,0.79515,0.46507,0.87923,0.96596,0.9642,0.98518,0.78902,0.72746,0.42207,0.85934,0.001406,0.001406,0.001406
5,2401.06,0.76249,0.43226,0.87018,0.97988,0.96677,0.98489,0.7994,0.68388,0.38443,0.84466,0.001208,0.001208,0.001208
6,2856.45,0.73747,0.40738,0.8617,0.97572,0.96826,0.98563,0.79884,0.68054,0.37911,0.8404,0.00101,0.00101,0.00101
7,3310.36,0.71725,0.38559,0.85611,0.98135,0.96301,0.98639,0.80587,0.66359,0.36456,0.83887,0.000812,0.000812,0.000812
8,3762.95,0.69904,0.36722,0.85032,0.97727,0.96975,0.98683,0.81141,0.65372,0.34066,0.83442,0.000614,0.000614,0.000614
9,4210.91,0.68126,0.34698,0.84798,0.97643,0.97573,0.98862,0.81779,0.64407,0.32392,0.83314,0.000416,0.000416,0.000416
10,4649.45,0.66391,0.32983,0.84375,0.98009,0.9705,0.98778,0.82134,0.63018,0.309,0.82941,0.000218,0.000218,0.000218
