epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,577.754,0.90835,0.8155,0.9193,0.96101,0.96863,0.97809,0.75605,0.79635,0.47329,0.87443,0.000666147,0.000666147,0.000666147
2,1149.39,0.86913,0.54137,0.90585,0.96797,0.948,0.98005,0.76654,0.76355,0.47891,0.87745,0.00126684,0.00126684,0.00126684
3,1716.41,0.83267,0.51346,0.8985,0.95917,0.95855,0.97752,0.76435,0.75014,0.46454,0.87418,0.00180153,0.00180153,0.00180153
4,2272.33,0.80361,0.47984,0.89106,0.96858,0.97162,0.98569,0.79607,0.71291,0.40017,0.85631,0.001703,0.001703,0.001703
5,2821.95,0.77959,0.45275,0.88243,0.96722,0.96949,0.9881,0.80783,0.67412,0.38039,0.84862,0.001604,0.001604,0.001604
6,3358.07,0.76165,0.43618,0.87933,0.96827,0.96854,0.98686,0.80414,0.67856,0.38253,0.84781,0.001505,0.001505,0.001505
7,3885.04,0.7414,0.42404,0.87516,0.97416,0.96602,0.98707,0.80909,0.66477,0.36575,0.84704,0.001406,0.001406,0.001406
8,4395.47,0.73592,0.40879,0.8753,0.97907,0.96639,0.98695,0.81629,0.64638,0.35033,0.84249,0.001307,0.001307,0.001307
9,4910.03,0.72071,0.39545,0.87014,0.97699,0.96303,0.98541,0.814,0.64674,0.34391,0.84341,0.001208,0.001208,0.001208
10,5420.09,0.71248,0.38713,0.86818,0.97554,0.96819,0.9858,0.81462,0.63894,0.33449,0.84022,0.001109,0.001109,0.001109
11,5912.81,0.68525,0.36188,0.85716,0.97761,0.97722,0.98775,0.82089,0.6366,0.32451,0.8404,0.00101,0.00101,0.00101
12,6402.82,0.67392,0.34957,0.85255,0.97374,0.98292,0.98796,0.8209,0.62668,0.31627,0.84125,0.000911,0.000911,0.000911
13,6891.41,0.66914,0.34187,0.85183,0.97648,0.97685,0.98832,0.82442,0.62249,0.31113,0.83752,0.000812,0.000812,0.000812
14,7380.4,0.6596,0.33208,0.85085,0.97329,0.97958,0.98779,0.82724,0.61629,0.30188,0.8336,0.000713,0.000713,0.000713
15,7869.71,0.65178,0.32181,0.84793,0.97476,0.98046,0.98866,0.82799,0.613,0.29645,0.83733,0.000614,0.000614,0.000614
16,8355.66,0.64711,0.31552,0.84753,0.98088,0.97694,0.98892,0.82907,0.60996,0.28884,0.83538,0.000515,0.000515,0.000515
17,8840.33,0.63918,0.3036,0.84619,0.97695,0.98105,0.98839,0.8313,0.61134,0.28394,0.83368,0.000416,0.000416,0.000416
18,9328.69,0.63209,0.29471,0.84313,0.97701,0.9817,0.98848,0.82893,0.60641,0.27792,0.83311,0.000317,0.000317,0.000317
19,9821.58,0.62374,0.28859,0.84062,0.97911,0.98005,0.9882,0.8311,0.60474,0.27276,0.83258,0.000218,0.000218,0.000218
20,10314.1,0.61755,0.27852,0.84047,0.97964,0.97984,0.98861,0.83246,0.6027,0.2695,0.8323,0.000119,0.000119,0.000119
